City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Atocha,BO,-20.9333,-66.2333,53.53,17,6,9.42,clear sky
80,Atuona,PF,-9.8,-139.0333,79.41,77,34,14.99,scattered clouds
81,Sudak,UA,44.85,34.9667,43.93,69,20,14.29,few clouds
82,Puerto Madryn,AR,-42.7692,-65.0385,68.31,43,1,10.0,clear sky
83,San Cristobal,VE,7.7669,-72.225,80.78,72,100,3.69,overcast clouds
84,Qinhuangdao,CN,39.9317,119.5883,41.9,30,40,6.2,scattered clouds
85,Vaini,TO,-21.2,-175.2,82.56,74,40,6.91,scattered clouds
86,Laguna,US,38.421,-121.4238,81.43,36,0,9.22,clear sky
87,Bukachacha,RU,52.9833,116.9167,11.84,98,79,2.66,broken clouds
88,Langxiang,CN,46.95,128.8833,29.12,85,86,6.91,overcast clouds
89,Naron,ES,43.5167,-8.1528,61.03,80,91,3.06,overcast clouds
90,Pisco,PE,-13.7,-76.2167,73.45,64,0,12.66,clear sky
91,Lucea,JM,18.451,-78.1736,80.46,68,89,9.53,overcast clouds
92,Torbay,CA,47.6666,-52.7314,37.27,96,100,18.41,light rain
93,Shingu,JP,33.7333,135.9833,59.76,83,65,6.87,broken clouds
94,Imbituba,BR,-28.24,-48.6703,68.52,78,4,1.54,light rain
95,Kawalu,ID,-7.3817,108.2082,71.42,92,97,1.72,overcast clouds
96,Athabasca,CA,54.7169,-113.2854,23.41,84,100,11.41,overcast clouds
97,Mustasaari,FI,63.1142,21.6822,26.89,58,0,4.61,clear sky
98,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.73,84,91,4.03,overcast clouds
99,Padang,ID,-0.9492,100.3543,75.56,85,7,5.21,clear sky
100,Qaanaaq,GL,77.484,-69.3632,-3.28,93,99,4.03,overcast clouds
101,Georgetown,MY,5.4112,100.3354,80.53,88,20,3.44,few clouds
102,Ewa Beach,US,21.3156,-158.0072,81.01,48,2,13.0,clear sky
103,Naruto,JP,34.1833,134.6167,57.18,67,75,14.97,broken clouds
104,Shirgaon,IN,19.7,72.7,77.04,79,2,3.02,clear sky
105,Olinda,BR,-8.0089,-34.8553,82.13,78,40,5.75,scattered clouds
106,Marshall,US,34.3834,-86.3333,64.45,16,0,18.41,clear sky
107,Ribeira Grande,PT,38.5167,-28.7,61.02,85,99,20.76,overcast clouds
108,Sept-Iles,CA,50.2001,-66.3821,32.43,95,100,6.91,mist
109,Narsaq,GL,60.9167,-46.05,19.17,80,16,4.56,few clouds
110,San Quintin,MX,30.4833,-115.95,65.89,70,20,9.8,few clouds
111,East London,ZA,-33.0153,27.9116,66.87,87,93,9.89,light rain
112,Muros,ES,42.7762,-9.0603,54.09,88,99,6.13,overcast clouds
113,Tulle,FR,45.3333,1.8333,45.54,66,18,3.11,few clouds
114,Cayenne,GF,4.9333,-52.3333,80.1,1,75,7.0,broken clouds
115,Damaturu,NG,11.747,11.9608,73.62,15,53,9.98,broken clouds
116,Maningrida,AU,-12.0667,134.2667,79.12,72,74,5.28,broken clouds
117,Solnechnyy,RU,50.7214,136.6319,21.38,93,100,11.83,snow
118,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,65,40,13.8,scattered clouds
119,Znamenskoye,RU,57.1281,73.8282,-6.47,100,52,3.29,broken clouds
120,Verkhoyansk,RU,67.5447,133.385,-2.92,95,96,2.86,overcast clouds
121,Chuy,UY,-33.6971,-53.4616,65.05,78,40,11.68,scattered clouds
122,Kaputa,ZM,-8.4689,29.6619,68.22,90,48,2.04,light rain
123,Shivrajpur,IN,22.4167,73.65,80.26,26,4,3.83,clear sky
124,Svetlaya,RU,46.5389,138.3297,35.17,89,100,6.33,light snow
125,Aklavik,CA,68.2191,-135.0107,5.0,56,0,8.05,clear sky
126,Pointe Michel,DM,15.25,-61.3833,79.09,73,58,12.17,broken clouds
127,Phek,IN,25.6667,94.5,46.2,96,24,2.24,few clouds
128,Beisfjord,NO,68.3751,17.5988,23.05,93,100,5.41,overcast clouds
129,Thompson,CA,55.7435,-97.8558,3.36,43,0,12.66,clear sky
130,Tres Barras,BR,-26.1064,-50.3222,60.17,67,48,2.53,scattered clouds
131,Aitape,PG,-3.1374,142.3475,81.09,81,91,3.38,overcast clouds
132,Nganjuk,ID,-7.6051,111.9035,74.71,92,100,2.55,overcast clouds
133,Aripuana,BR,-9.1667,-60.6333,74.73,97,97,0.6,overcast clouds
134,Kabare,CD,-2.4683,28.8242,60.89,93,100,1.01,overcast clouds
135,Saskylakh,RU,71.9167,114.0833,-27.31,100,100,3.02,overcast clouds
136,Mana,GF,5.6592,-53.7767,77.14,86,80,12.19,broken clouds
137,Kahului,US,20.8947,-156.47,74.84,86,84,8.01,broken clouds
138,Deputatskiy,RU,69.3,139.9,-6.61,91,43,5.17,scattered clouds
139,Mpika,ZM,-11.8343,31.4529,62.78,97,76,3.15,light rain
140,Saint-Joseph,RE,-21.3667,55.6167,75.58,82,23,7.07,few clouds
141,Tibati,CM,6.4667,12.6333,72.9,23,42,0.56,scattered clouds
142,Chokurdakh,RU,70.6333,147.9167,-0.44,95,99,9.13,overcast clouds
143,Port Hardy,CA,50.6996,-127.4199,48.38,81,75,8.05,broken clouds
144,Nanortalik,GL,60.1432,-45.2371,26.49,86,11,3.76,few clouds
145,Axim,GH,4.8699,-2.2405,80.38,83,90,2.82,overcast clouds
146,Payo,ID,-3.7508,103.6372,71.01,92,42,1.54,scattered clouds
147,Samarai,PG,-10.6167,150.6667,84.52,70,100,6.64,overcast clouds
148,Jamestown,US,42.097,-79.2353,33.03,54,98,5.99,overcast clouds
149,Victoria,HK,22.2855,114.1577,75.94,87,57,3.0,broken clouds
150,Grindavik,IS,63.8424,-22.4338,40.95,100,100,8.05,light intensity drizzle
151,San Patricio,US,28.017,-97.5169,89.55,37,9,15.86,clear sky
152,Erzin,TR,36.9559,36.2,41.72,77,64,1.79,broken clouds
153,Galesong,ID,-5.3166,119.3661,75.22,83,86,3.15,overcast clouds
154,Harper,LR,4.375,-7.7169,79.95,87,95,7.0,light rain
155,Rangapara,IN,26.8167,92.65,68.81,76,8,7.54,clear sky
156,Gopalpur,IN,19.2667,84.9167,78.82,89,67,14.25,broken clouds
157,Beryslav,UA,46.8415,33.4284,48.13,53,100,20.94,overcast clouds
158,Iqaluit,CA,63.7506,-68.5145,20.93,86,40,13.8,scattered clouds
159,Salalah,OM,17.0151,54.0924,76.69,42,38,0.27,scattered clouds
160,Port Alfred,ZA,-33.5906,26.891,64.18,88,87,12.41,overcast clouds
161,Bone,DE,51.9669,12.1396,51.82,79,98,3.22,overcast clouds
162,Wenden,DE,50.9667,7.8667,50.58,73,4,3.87,clear sky
163,Kalaleh,IR,37.3807,55.4916,45.12,69,1,2.28,clear sky
164,Buchanan,LR,5.8808,-10.0467,78.8,89,99,2.28,light rain
165,Olafsvik,IS,64.8945,-23.7142,36.5,71,100,16.08,overcast clouds
166,Paamiut,GL,61.994,-49.6678,21.72,87,4,3.96,clear sky
167,Bredasdorp,ZA,-34.5322,20.0403,62.44,79,57,8.59,broken clouds
168,Dunedin,NZ,-45.8742,170.5036,63.81,68,52,3.29,broken clouds
169,Nueva Guinea,NI,11.6876,-84.4562,81.97,54,76,14.27,broken clouds
170,Yellowknife,CA,62.456,-114.3525,5.52,60,75,13.8,light snow
171,Vardo,NO,70.3705,31.1107,26.89,61,100,29.28,snow
172,Ptichye,RU,45.5168,41.7115,40.46,82,8,23.44,clear sky
173,Meulaboh,ID,4.1363,96.1285,76.82,85,67,5.03,broken clouds
174,Usagara,TZ,-2.6833,33.0,68.22,81,73,0.36,light rain
175,Araouane,ML,18.9048,-3.5265,83.79,21,24,6.69,few clouds
176,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,79.25,72,83,0.83,broken clouds
177,Strezhevoy,RU,60.7333,77.5889,10.49,95,50,8.21,scattered clouds
178,Henties Bay,NA,-22.116,14.2845,64.26,81,0,3.51,clear sky
179,Cidreira,BR,-30.1811,-50.2056,69.49,71,77,10.56,broken clouds
180,Tuatapere,NZ,-46.1333,167.6833,60.98,68,27,0.98,scattered clouds
181,La Romana,DO,18.4273,-68.9728,80.96,74,20,13.8,few clouds
182,Kompaniyivka,UA,48.2511,32.208,46.92,70,74,19.26,broken clouds
183,Kaili,ID,-3.4626,120.2147,67.69,83,98,3.04,overcast clouds
184,Lagoa,PT,39.05,-27.9833,59.76,87,79,26.91,broken clouds
185,Lasa,IT,46.6166,10.7002,44.02,66,4,1.21,clear sky
186,Qorveh,IR,35.1664,47.8045,30.45,74,1,4.76,clear sky
187,Praia,CV,14.9215,-23.5087,68.54,73,20,10.36,few clouds
188,Markala,ML,13.7021,-6.0659,91.0,27,14,7.54,few clouds
189,Esperance,AU,-33.8667,121.9,66.04,90,100,11.01,overcast clouds
190,Tamandare,BR,-8.7597,-35.1047,78.55,84,92,3.42,overcast clouds
191,Kutum,SD,14.2,24.6667,60.06,14,1,12.53,clear sky
192,Maridi,SS,4.9158,29.4742,73.67,62,55,4.72,broken clouds
193,Mahebourg,MU,-20.4081,57.7,79.25,89,40,4.61,scattered clouds
194,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,75.56,97,96,2.68,light rain
195,Baruun-Urt,MN,46.6806,113.2792,18.14,41,0,8.03,clear sky
196,Arraial Do Cabo,BR,-22.9661,-42.0278,77.45,90,11,10.6,few clouds
197,Coquimbo,CL,-29.9533,-71.3436,64.13,72,20,11.5,few clouds
198,Dhidhdhoo,MV,6.8833,73.1,81.18,69,2,3.76,clear sky
199,Dali,CN,25.7,100.1833,52.11,87,80,3.29,broken clouds
200,Kodiak,US,57.79,-152.4072,38.48,81,95,5.32,overcast clouds
201,Carolina,PR,18.3808,-65.9574,78.76,79,27,9.46,scattered clouds
202,Margate,GB,51.3813,1.3862,49.3,85,3,4.0,clear sky
203,Pevek,RU,69.7008,170.3133,0.05,94,98,8.37,overcast clouds
204,Lahaina,US,20.8783,-156.6825,74.8,86,60,13.22,broken clouds
205,Christchurch,NZ,-43.5333,172.6333,68.41,74,3,3.44,clear sky
206,Matamoros,MX,25.5333,-103.25,83.91,7,100,9.13,overcast clouds
207,Puerto Carreno,CO,6.189,-67.4859,89.58,51,100,8.05,overcast clouds
208,Tiznit,MA,29.5833,-9.5,57.6,69,0,2.44,clear sky
209,Nouadhibou,MR,20.931,-17.0347,62.58,94,42,11.5,scattered clouds
210,Sandnessjoen,NO,66.0217,12.6316,32.65,74,100,3.0,light snow
211,Grand Gaube,MU,-20.0064,57.6608,79.38,83,7,4.0,clear sky
212,Mar Del Plata,AR,-38.0023,-57.5575,61.88,96,75,11.99,broken clouds
213,Marsa Matruh,EG,31.3525,27.2453,56.77,70,0,9.42,clear sky
214,Newport,GB,51.5877,-2.9984,54.14,80,0,9.82,clear sky
215,Mogadishu,SO,2.0371,45.3438,80.87,81,20,10.47,few clouds
216,Antalaha,MG,-14.9003,50.2788,75.81,91,10,4.74,clear sky
217,Mattawa,US,46.7379,-119.9028,68.02,36,100,4.0,overcast clouds
218,Necochea,AR,-38.5473,-58.7368,62.01,88,98,14.72,overcast clouds
219,Oriximina,BR,-1.7656,-55.8661,76.62,94,37,3.53,scattered clouds
220,Lusambo,CD,-4.9667,23.45,71.69,84,100,1.61,overcast clouds
221,Nouakchott,MR,18.0858,-15.9785,64.33,79,5,13.04,clear sky
222,Saint George,US,37.1041,-113.5841,89.26,10,100,5.01,overcast clouds
223,Fukuchiyama,JP,35.3,135.1167,49.78,89,100,6.89,overcast clouds
224,Bengkulu,ID,-3.8004,102.2655,74.14,88,76,6.78,broken clouds
225,Mumford,GH,5.2618,-0.759,81.41,86,100,7.36,overcast clouds
226,Constitucion,CL,-35.3333,-72.4167,54.88,85,63,10.11,broken clouds
227,Coahuayana,MX,18.7333,-103.6833,86.02,27,3,7.0,clear sky
228,Airai,TL,-8.9266,125.4092,63.5,82,63,1.12,broken clouds
229,Bac Lieu,VN,9.285,105.7244,81.05,81,3,4.63,clear sky
230,Luderitz,NA,-26.6481,15.1594,63.9,71,0,7.92,clear sky
231,Fort-Shevchenko,KZ,44.5086,50.263,41.2,85,79,14.79,broken clouds
232,Inhambane,MZ,-23.865,35.3833,73.51,89,99,6.98,light rain
233,Svetlyy,RU,54.675,20.1347,37.45,62,65,15.37,broken clouds
234,Caravelas,BR,-17.7125,-39.2481,78.26,82,11,6.8,few clouds
235,Sola,VU,-13.8833,167.55,82.87,71,95,8.41,overcast clouds
236,Suntar,RU,62.1444,117.6319,3.02,100,97,2.98,overcast clouds
237,Sume,BR,-7.6717,-36.88,73.45,88,87,8.37,overcast clouds
238,Ambunti,PG,-4.2365,142.8448,78.91,87,90,0.56,overcast clouds
239,Yala,TH,6.3333,101.25,73.06,97,7,2.13,light rain
240,Sahuaripa,MX,29.05,-109.2333,94.57,5,42,13.96,scattered clouds
241,Vanimo,PG,-2.6741,141.3028,79.72,87,100,3.69,light rain
242,Bud,US,39.447,-86.1758,36.75,63,96,14.79,overcast clouds
243,Manali,IN,13.1667,80.2667,82.49,91,1,9.53,clear sky
244,Komsomolets,KZ,53.7453,62.0708,-7.1,100,98,3.36,overcast clouds
245,Klaksvik,FO,62.2266,-6.589,47.32,78,100,22.75,overcast clouds
246,Cockburn Town,TC,21.4612,-71.1419,80.56,69,40,8.05,scattered clouds
247,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,91,75,21.85,moderate rain
248,Sinnamary,GF,5.3833,-52.95,77.27,86,86,13.38,light rain
249,Plouzane,FR,48.3833,-4.6167,50.32,71,0,8.05,mist
250,Lavrentiya,RU,65.5833,-171.0,13.08,89,100,2.24,overcast clouds
251,Longyearbyen,SJ,78.2186,15.6401,-4.16,77,20,10.36,few clouds
252,Hurricane,US,37.1753,-113.2899,87.33,11,100,9.64,overcast clouds
253,Kloulklubed,PW,7.0419,134.2556,82.26,78,100,13.51,light rain
254,Te Anau,NZ,-45.4167,167.7167,58.35,73,59,0.94,broken clouds
255,Boyolangu,ID,-8.1181,111.8935,75.49,89,99,1.07,overcast clouds
256,Rio Grande,BR,-32.035,-52.0986,67.95,69,92,14.18,overcast clouds
257,Emilio Carranza,MX,19.9711,-96.6114,73.36,55,41,11.21,scattered clouds
258,Sonkovo,RU,57.7782,37.1571,26.13,92,100,19.95,light snow
259,The Valley,AI,18.217,-63.0578,80.46,69,20,11.5,few clouds
260,Muzhi,RU,65.3667,64.6667,-7.01,99,97,5.59,overcast clouds
261,Murgud,IN,16.4,74.2,73.63,73,45,2.62,scattered clouds
262,Eresos,GR,39.1667,25.9333,52.38,50,0,2.48,clear sky
263,Rocha,UY,-34.4833,-54.3333,65.26,83,85,11.83,overcast clouds
264,Mount Isa,AU,-20.7333,139.5,78.57,22,1,11.5,clear sky
265,Souillac,MU,-20.5167,57.5167,79.18,89,40,4.61,scattered clouds
266,Lebu,CL,-37.6167,-73.65,57.02,82,56,5.23,broken clouds
267,Makat,KZ,47.6469,53.3463,36.46,65,45,10.38,scattered clouds
268,Qui Nhon,VN,13.7667,109.2333,76.78,88,0,4.05,clear sky
269,Geraldton,AU,-28.7667,114.6,70.21,94,75,3.44,broken clouds
270,Tiksi,RU,71.6872,128.8694,-13.11,100,98,3.15,overcast clouds
271,Ambon,ID,-3.6954,128.1814,78.94,89,20,4.61,few clouds
272,Wufeng,CN,27.45,104.8333,36.34,92,100,2.46,overcast clouds
273,Mweka,CD,-4.85,21.5667,71.83,82,100,1.99,overcast clouds
274,Hami,CN,42.8,93.45,44.38,31,68,4.79,broken clouds
275,Thunder Bay,CA,48.4001,-89.3168,21.18,45,40,21.85,scattered clouds
276,Komsomolskiy,UZ,40.4272,71.7189,52.93,74,100,13.94,light rain
277,Flinders,AU,-34.5833,150.8552,69.39,93,100,4.0,overcast clouds
278,Taksimo,RU,56.3444,114.8794,5.81,86,79,1.52,broken clouds
279,Zabol,AF,32.25,67.25,57.83,23,0,4.05,clear sky
280,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,88,100,20.4,overcast clouds
281,Shimoda,JP,34.6667,138.95,60.1,86,83,12.17,broken clouds
282,Oum Hadjer,TD,13.2954,19.6966,76.68,12,11,13.09,few clouds
283,Saldanha,ZA,-33.0117,17.9442,64.08,76,40,4.65,scattered clouds
284,Cabo San Lucas,MX,22.8909,-109.9124,82.18,47,31,6.87,scattered clouds
285,Vila,PT,42.0304,-8.1588,49.08,80,90,4.45,overcast clouds
286,Moerai,PF,-22.4333,-151.3333,81.16,74,64,10.51,broken clouds
287,Dumka,IN,24.2667,87.25,76.17,18,5,2.33,clear sky
288,Vestmannaeyjar,IS,63.4427,-20.2734,46.42,94,100,16.93,overcast clouds
289,Oarai,JP,36.3167,140.6,63.34,82,100,6.78,overcast clouds
290,Patterson,US,37.4716,-121.1297,82.02,34,89,5.55,overcast clouds
291,Imeni Poliny Osipenko,RU,52.4201,136.4853,19.09,90,100,18.54,overcast clouds
292,Dzaoudzi,YT,-12.7887,45.2699,82.29,89,40,1.14,scattered clouds
293,Flin Flon,CA,54.7682,-101.865,10.35,62,84,6.76,broken clouds
294,Plettenberg Bay,ZA,-34.0527,23.3716,61.65,86,4,4.74,clear sky
295,Xining,CN,36.6167,101.7667,29.82,61,63,2.48,broken clouds
296,Gallup,US,35.5281,-108.7426,75.96,9,97,3.0,overcast clouds
297,San Luis,AR,-33.295,-66.3356,64.63,34,0,6.49,clear sky
298,Nadym,RU,65.5333,72.5167,0.91,97,66,6.85,broken clouds
299,Kavaratti,IN,10.5669,72.642,81.3,71,1,3.71,clear sky
300,Kavieng,PG,-2.5744,150.7967,83.28,69,100,2.48,overcast clouds
301,Hay River,CA,60.8156,-115.7999,16.25,92,100,7.74,light snow
302,Tezu,IN,27.9167,96.1667,64.78,87,99,4.45,overcast clouds
303,Fairbanks,US,64.8378,-147.7164,35.98,54,100,0.67,overcast clouds
304,Buraydah,SA,26.326,43.975,55.69,28,0,9.28,clear sky
305,Rognan,NO,67.0953,15.3878,32.14,92,100,6.33,light snow
306,Digoin,FR,46.4812,3.9795,42.33,88,0,1.01,clear sky
307,Pimentel,PE,-6.8367,-79.9342,71.55,80,100,12.08,overcast clouds
308,Berlevag,NO,70.8578,29.0864,21.0,65,100,24.54,light snow
309,Honningsvag,NO,70.9821,25.9704,24.55,80,100,14.97,overcast clouds
310,Onega,RU,63.9061,38.1404,19.76,71,100,21.07,overcast clouds
311,Arawa,PG,-6.2132,155.5367,83.64,73,98,3.27,overcast clouds
312,Yanam,IN,16.7333,82.2167,75.11,96,33,3.4,scattered clouds
