City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,San Patricio,US,2022-03-26 21:43:57,28.017,-97.5169,93.29,29,5,15.99
67,Mitsamiouli,KM,2022-03-26 21:43:58,-11.3847,43.2844,82.06,78,52,3.94
68,Nouadhibou,MR,2022-03-26 21:43:58,20.931,-17.0347,64.38,88,28,11.5
69,Upernavik,GL,2022-03-26 21:37:34,72.7868,-56.1549,12.78,92,100,6.08
70,Geraldton,AU,2022-03-26 21:38:51,-28.7667,114.6,72.01,94,75,4.61
71,Greymouth,NZ,2022-03-26 21:43:59,-42.4667,171.2,64.81,56,7,3.09
72,Ahipara,NZ,2022-03-26 21:43:59,-35.1667,173.1667,70.14,65,1,7.52
73,Rawson,AR,2022-03-26 21:44:00,-43.3002,-65.1023,71.24,35,1,13.33
74,Hanyang,CN,2022-03-26 21:44:00,32.1371,105.5126,47.48,89,100,3.65
75,Mugla,TR,2022-03-26 21:44:00,37.2303,28.3557,37.24,59,0,4.85
76,Port Alfred,ZA,2022-03-26 21:37:35,-33.5906,26.891,64.18,86,92,13.02
77,Mandalgovi,MN,2022-03-26 21:44:01,45.7625,106.2708,23.04,24,0,8.75
78,East London,ZA,2022-03-26 21:37:25,-33.0153,27.9116,66.67,88,93,9.84
79,Kidal,ML,2022-03-26 21:44:01,18.4411,1.4078,85.28,11,22,13.96
80,Punta Arenas,CL,2022-03-26 21:38:51,-53.15,-70.9167,48.31,93,100,10.36
81,Kodiak,US,2022-03-26 21:42:46,57.79,-152.4072,38.71,87,100,5.75
82,Lufilufi,WS,2022-03-26 21:44:03,-13.8745,-171.5986,82.18,76,89,15.75
83,Goba,ET,2022-03-26 21:44:03,7.0167,39.9833,54.63,71,100,0.83
84,Iqaluit,CA,2022-03-26 21:44:03,63.7506,-68.5145,22.73,85,20,16.11
85,Kattivakkam,IN,2022-03-26 21:44:04,13.2167,80.3167,84.29,90,0,9.57
86,Faanui,PF,2022-03-26 21:39:08,-16.4833,-151.75,82.04,72,34,13.22
87,Nikolskoye,RU,2022-03-26 21:40:20,59.7035,30.7861,26.87,82,100,18.66
